,userName,toeflScore,greV,greQ,greA,termAndYear,ugCollege,cgpa,univName
11651,visnathan,283.0,620.0,800.0,4.0,Fall - 2007,NIT Calicut,0.8460000000000001,University of Cincinnati
11652,anil7588,109.0,600.0,800.0,3.5,Fall - 2012,NIT Calicut,0.8099999999999999,University of California Santa Barbara
11653,chetan.89,109.0,500.0,800.0,4.0,Fall - 2011,NIT Calicut,0.925,University of California Santa Barbara
11654,niravadesai,283.0,640.0,770.0,5.5,Fall - 2006,NIT Calicut,0.92,University of California Santa Barbara
11655,zztop,114.0,620.0,790.0,4.0,Fall - 2011,NIT Calicut,0.9159999999999999,University of California San Diego
11656,sujithjose5,111.0,162.0,165.0,4.0,Fall - 2015,NIT Calicut,0.904,University of California Los Angeles
11657,knightwalker,112.0,600.0,800.0,3.0,Fall - 2011,NIT Calicut,0.8320000000000001,University of California Irvine
11660,Ahem..,112.0,155.0,162.0,3.5,Fall - 2014,NIT Calicut,0.8340000000000001,University of Arizona
11661,deepakiyer,110.0,660.0,800.0,5.0,Fall - 2008,NIT Calicut,0.73,University of Arizona
11662,jithinrj,107.0,640.0,800.0,4.0,Fall - 2011,NIT Calicut,0.828,University of Arizona
11663,kimi,103.0,800.0,710.0,5.0,Spring - 2010,NIT Calicut,0.76,University of Arizona
11664,Ahem..,112.0,155.0,162.0,3.5,Fall - 2014,NIT Calicut,0.8340000000000001,Texas A and M University College Station
11666,arjunjm,114.0,153.0,166.0,4.0,Fall - 2013,NIT Calicut,0.8270000000000001,Texas A and M University College Station
11668,avineshv,107.0,165.0,167.0,4.0,Fall - 2014,NIT Calicut,0.754,Texas A and M University College Station
11671,peddagorla preethi,108.0,153.0,163.0,3.0,Fall - 2014,NIT Calicut,0.805,Texas A and M University College Station
11672,rooshykp,105.0,163.0,170.0,4.0,Fall - 2015,NIT Calicut,0.8019999999999999,Texas A and M University College Station
11673,visnathan,283.0,620.0,800.0,4.0,Fall - 2007,NIT Calicut,0.8460000000000001,Texas A and M University College Station
11674,niravadesai,283.0,640.0,770.0,5.5,Fall - 2006,NIT Calicut,0.92,Syracuse University
11679,nipunv,113.0,155.0,170.0,3.5,Fall - 2012,NIT Calicut,0.8150000000000001,SUNY Stony Brook
11680,skr_,97.0,150.0,164.0,3.5,Fall - 2014,NIT Calicut,0.825,SUNY Stony Brook
11681,skyline385,108.0,153.0,164.0,3.5,Fall - 2015,NIT Calicut,0.818,SUNY Stony Brook
11686,Rahul.itsource,93.0,580.0,780.0,3.0,Fall - 2012,NIT Calicut,0.73,SUNY Buffalo
11692,anupsasikumar,277.0,620.0,800.0,4.5,Fall - 2007,NIT Calicut,0.875,Rutgers University New Brunswick/Piscataway
11693,surya002,110.0,162.0,170.0,3.5,Fall - 2015,NIT Calicut,0.6629999999999999,Rutgers University New Brunswick/Piscataway
11694,damunano.1989,115.0,166.0,170.0,4.0,Fall - 2013,NIT Calicut,0.805,Purdue University
11696,skidrow,109.0,157.0,161.0,3.5,Fall - 2014,NIT Calicut,0.6599999999999999,Purdue University
11697,sulaiman,112.0,500.0,800.0,3.0,Fall - 2011,NIT Calicut,0.9329999999999999,Purdue University
11698,Yet_another,104.0,156.0,165.0,4.0,Fall - 2012,NIT Calicut,0.893,Purdue University
11699,fury,117.0,165.0,165.0,4.0,Fall - 2014,NIT Calicut,0.8699999999999999,Ohio State University Columbus
11702,zztop,114.0,620.0,790.0,4.0,Fall - 2011,NIT Calicut,0.9159999999999999,Ohio State University Columbus
11704,iceblade,115.0,163.0,163.0,4.0,Fall - 2014,NIT Calicut,0.688,Northeastern University
11706,renzil,115.0,730.0,800.0,4.0,Fall - 2011,NIT Calicut,0.7879999999999999,Northeastern University
11710,ashputtle,110.0,161.0,168.0,4.0,Fall - 2014,NIT Calicut,0.6910000000000001,North Carolina State University
11711,bineshandrews,110.0,570.0,800.0,3.0,Fall - 2011,NIT Calicut,0.9129999999999999,North Carolina State University
11712,calmran,116.0,157.0,168.0,4.0,Fall - 2014,NIT Calicut,0.8150000000000001,North Carolina State University
11713,damunano.1989,115.0,166.0,170.0,4.0,Fall - 2013,NIT Calicut,0.805,North Carolina State University
11714,Jazz347,100.0,152.0,167.0,3.0,Fall - 2014,NIT Calicut,0.76,North Carolina State University
11716,jhansi,104.0,152.0,170.0,3.0,Fall - 2015,NIT Calicut,0.0796,North Carolina State University
11719,nadish21,110.0,157.0,167.0,4.5,Fall - 2013,NIT Calicut,0.7110000000000001,North Carolina State University
11720,spharshal,110.0,161.0,165.0,4.0,Fall - 2014,NIT Calicut,0.752,North Carolina State University
11721,vijay.venugopalan,118.0,161.0,164.0,5.0,Fall - 2014,NIT Calicut,0.5900000000000001,North Carolina State University
11723,ashshenoi8,114.0,680.0,800.0,3.5,Fall - 2014,NIT Calicut,0.866,Georgia Institute of Technology
11724,heem2990,106.0,560.0,790.0,4.0,Fall,NIT Calicut,0.0834,Georgia Institute of Technology
11726,vijay.venugopalan,118.0,161.0,164.0,5.0,Fall - 2014,NIT Calicut,0.5900000000000001,Georgia Institute of Technology
11727,tejreddy93,102.0,150.0,162.0,3.5,Fall - 2015,NIT Calicut,0.774,George Mason University
